time,close,high,low,open,volumefrom,volumeto
2018-01-17 01:58:00,1032.31,1036.69,1030.86,1035.11,748.27,770675.66
2018-01-17 01:59:00,1028.47,1033.12,1027.94,1032.26,769.86,795383.36
2018-01-17 02:00:00,1032.9,1033.8,1026.34,1028.45,1681.62,1736751.34
2018-01-17 02:01:00,1027.58,1032.89,1027.58,1032.88,806.46,822599.83
2018-01-17 02:02:00,1023.74,1027.73,1023.74,1027.58,1909.49,1960536.73
2018-01-17 02:03:00,1022.94,1023.74,1021.0,1023.74,1663.15,1704636.76
2018-01-17 02:04:00,1019.42,1022.44,1019.42,1022.02,1185.93,1214107.13
2018-01-17 02:05:00,1019.04,1020.33,1017.49,1019.42,853.03,869684.32
2018-01-17 02:06:00,1021.84,1021.97,1018.73,1019.04,528.49,538087.28
2018-01-17 02:07:00,1024.37,1024.97,1021.13,1021.84,1075.27,1099017.71
2018-01-17 02:08:00,1020.59,1027.26,1020.49,1024.87,1773.43,1808488.21
2018-01-17 02:09:00,1020.72,1021.68,1017.72,1021.68,858.31,872621.36
2018-01-17 02:10:00,1021.04,1021.87,1019.36,1021.05,604.96,615957.88
2018-01-17 02:11:00,1031.91,1032.37,1021.92,1021.92,893.36,920758.58
2018-01-17 02:12:00,1036.3,1038.29,1031.72,1031.72,626.31,649244.55
2018-01-17 02:13:00,1028.51,1037.22,1024.48,1036.54,1270.01,1308428.95
2018-01-17 02:14:00,1028.78,1032.86,1028.35,1029.19,693.33,715867.24
2018-01-17 02:15:00,1038.19,1038.98,1027.09,1028.78,1139.01,1177998.3
2018-01-17 02:16:00,1026.9,1039.07,1026.62,1038.19,1013.58,1045310.93
2018-01-17 02:17:00,1033.1,1035.25,1026.47,1026.47,394.11,407260.38
2018-01-17 02:18:00,1031.53,1033.57,1030.38,1033.37,490.95,505603.66
2018-01-17 02:19:00,1029.98,1031.29,1027.11,1031.29,607.24,626477.74
2018-01-17 02:20:00,1012.59,1032.06,1012.59,1030.1,4695.45,4782052.94
2018-01-17 02:21:00,1005.46,1012.42,1004.14,1012.42,1875.43,1889977.23
2018-01-17 02:22:00,1009.27,1009.5,1004.28,1004.28,1639.0,1650274.25
2018-01-17 02:23:00,1020.16,1021.16,1009.27,1009.27,1415.39,1433057.24
2018-01-17 02:24:00,1018.05,1022.39,1017.6,1019.94,895.88,911232.39
2018-01-17 02:25:00,1019.43,1022.79,1015.0,1017.87,844.12,857984.09
2018-01-17 02:26:00,1014.67,1019.43,1013.58,1019.43,942.18,957278.42
2018-01-17 02:27:00,1015.39,1017.79,1014.67,1014.67,364.09,369797.88
2018-01-17 02:28:00,1012.95,1018.47,1012.93,1015.39,733.03,741955.88
2018-01-17 02:29:00,1017.59,1018.21,1012.24,1012.95,753.23,758800.58
2018-01-17 02:30:00,1013.9,1018.52,1012.31,1017.59,524.35,530324.98
2018-01-17 02:31:00,1012.05,1013.91,1011.44,1013.91,803.76,812215.24
2018-01-17 02:32:00,1011.0,1012.05,1010.72,1012.05,202.32,204664.45
2018-01-17 02:33:00,1010.58,1011.81,1009.51,1011.32,1089.04,1104563.69
2018-01-17 02:34:00,1004.25,1010.37,1003.93,1010.26,869.83,877614.35
