,24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
198,4196.31,4936909.0,e-coin,1515383052.0,111746945.0,,E-coin,73.32,272.36,660.4,0.0014371,22.635,199,ECN,213225801.0
199,1108020.0,20785264.0,spectrecoin,1515383050.0,111142133.0,,Spectrecoin,0.22,8.97,34.48,0.00033949,5.34716,200,XSPEC,20785264.0
200,4390200.0,129032781759.0,newyorkcoin,1515383043.0,111127032.0,,NewYorkCoin,-13.54,51.02,607.63,5e-08,0.000861231,201,NYC,129032781759.0
201,102718000.0,178250000.0,ink,1515383058.0,110525695.0,1000000000.0,Ink,-2.55,-6.58,5.33,3.937e-05,0.62006,202,INK,1000000000.0
202,13190900.0,210000000.0,voxels,1515383047.0,110471340.0,210000000.0,Voxels,-3.4,-0.52,-11.01,3.34e-05,0.526054,203,VOX,210000000.0
203,3157230.0,187625000.0,feathercoin,1515383041.0,110054446.0,336000000.0,Feathercoin,-2.36,-1.07,54.73,3.724e-05,0.586566,204,FTC,187625000.0
204,3908020.0,325000000.0,cofound-it,1515383053.0,109999825.0,,Cofound.it,-2.06,-2.88,33.14,2.149e-05,0.338461,205,CFI,500000000.0
205,2441240.0,92147500.0,trust,1515383051.0,108824355.0,100000000.0,WeTrust,0.29,13.53,80.06,7.498e-05,1.18098,206,TRST,100000000.0
206,13739400.0,162299801.0,viberate,1515383057.0,104542333.0,,Viberate,-1.44,0.16,56.62,4.09e-05,0.644131,207,VIB,200000000.0
207,9783840.0,116894495.0,bounty0x,1515383059.0,102734597.0,,Bounty0x,1.54,84.64,407.35,5.58e-05,0.878866,208,BNTY,500000000.0
208,11290200.0,2297853.0,lunyr,1515383051.0,101174011.0,,Lunyr,-1.12,-14.3,80.32,0.00279547,44.0298,209,LUN,2703356.0
209,149321.0,155000000.0,presearch,1515383059.0,100011580.0,1000000000.0,Presearch,-6.49,-5.78,164.8,4.097e-05,0.645236,210,PRE,170000000.0
210,26851500.0,16500000.0,everex,1515383056.0,98692275.0,,Everex,-2.35,9.28,210.45,0.00037976,5.98135,211,EVX,25000000.0
211,7321990.0,85978873.0,agrello-delta,1515383055.0,98082979.0,,Agrello,-0.2,-12.84,128.04,7.243e-05,1.14078,212,DLT,130271020.0
212,14177400.0,75000000.0,guppy,1515383053.0,97844250.0,,Matchpool,-2.74,2.54,48.28,8.283e-05,1.30459,213,GUP,98855150.0
213,1439040.0,1009801.0,salus,1515383046.0,97397559.0,,SaluS,-3.92,-7.74,16.01,0.00612378,96.4522,214,SLS,1009801.0
214,716059.0,172363117.0,pura,1515383044.0,95153059.0,350000000.0,Pura,6.02,19.69,7.67,3.505e-05,0.55205,215,PURA,179145611.0
215,10372700.0,405002639.0,snovio,1515383059.0,95080445.0,,Snovio,-3.43,26.69,689.55,1.491e-05,0.234765,216,SNOV,651129644.0
216,16839.5,816061.0,supernet-unity,1515383044.0,94368452.0,,SuperNET,-1.51,-9.01,-20.33,0.00734196,115.639,217,UNITY,816061.0
217,87877.4,58703.0,jinn,1515383044.0,92119096.0,,Jinn,-1.41,17.87,-12.05,0.0996315,1569.24,218,JINN,1000000.0
218,1713930.0,100000000.0,mercury,1515383051.0,88003500.0,,Mercury,-2.54,-1.95,17.75,5.587e-05,0.880035,219,MER,100000000.0
219,315569.0,23644056.0,tokencard,1515383051.0,86520221.0,,TokenCard,2.14,-10.21,146.61,0.00023233,3.65928,220,TKN,30133540.0
220,9477000.0,1153170765.0,zeusshield,1515383057.0,85632501.0,,Zeusshield,-0.61,-4.43,124.26,4.71e-06,0.0742583,221,ZSC,5642500000.0
221,1469830.0,14736400.0,namecoin,1515383041.0,84233262.0,,Namecoin,0.53,10.26,45.7,0.00036291,5.716,222,NMC,14736400.0
